OID,INPUT_FID,NEAR_FID,DISTANCE,id,mapa,N_pto,tipo_polei
0,0,12,200.249843945,0.0, ,2,fragto_20
1,0,11,120.830459736,0.0, ,2,fragto_20
2,0,10,89.4427191003,0.0, ,2,fragto_20
3,0,9,67.0820393249,0.0, ,2,fragto_20
4,0,8,90.553851382,0.0, ,2,fragto_20
5,0,7,165.529453572,0.0, ,2,fragto_20
6,0,4,108.166538265,0.0, ,2,fragto_20
7,0,13,78.1024967594,0.0, ,2,fragto_20
8,0,6,186.010752378,0.0, ,2,fragto_20
9,0,1,41.2310562559,0.0, ,2,fragto_20
10,0,5,162.788205962,0.0, ,2,fragto_20
11,0,2,86.02325267,0.0, ,2,fragto_20
12,0,3,108.166538264,0.0, ,2,fragto_20
13,1,12,192.353840617,0.0, ,3,fragto_60
14,1,11,134.53624047,0.0, ,3,fragto_60
15,1,10,106.301458127,0.0, ,3,fragto_60
16,1,9,86.0232526702,0.0, ,3,fragto_60
17,1,8,94.3398113212,0.0, ,3,fragto_60
18,1,7,143.178210632,0.0, ,3,fragto_60
19,1,0,41.2310562559,0.0, ,3,fragto_60
20,1,4,82.4621125129,0.0, ,3,fragto_60
21,1,13,50.9901951355,0.0, ,3,fragto_60
22,1,6,156.524758425,0.0, ,3,fragto_60
23,1,5,130.384048105,0.0, ,3,fragto_60
24,1,2,49.9999999998,0.0, ,3,fragto_60
25,1,3,70.7106781193,0.0, ,3,fragto_60
26,2,12,161.554944215,0.0, ,8,fragto_60
27,2,11,134.164078649,0.0, ,8,fragto_60
28,2,10,114.017542509,0.0, ,8,fragto_60
29,2,9,100.498756211,0.0, ,8,fragto_60
30,2,8,89.4427191005,0.0, ,8,fragto_60
31,2,7,99.9999999996,0.0, ,8,fragto_60
32,2,0,86.02325267,0.0, ,8,fragto_60
33,2,4,41.2310562565,0.0, ,8,fragto_60
34,2,13,22.360679773,0.0, ,8,fragto_60
35,2,6,107.703296143,0.0, ,8,fragto_60
36,2,1,49.9999999998,0.0, ,8,fragto_60
37,2,5,80.622577484,0.0, ,8,fragto_60
38,2,3,22.3606797759,0.0, ,8,fragto_60
39,3,12,161.245154967,0.0, ,9,fragto_60
40,3,11,148.660687473,0.0, ,9,fragto_60
41,3,10,131.52946438,0.0, ,9,fragto_60
42,3,9,120.0,0.0, ,9,fragto_60
43,3,8,104.40306509,0.0, ,9,fragto_60
44,3,7,92.1954445721,0.0, ,9,fragto_60
45,3,0,108.166538264,0.0, ,9,fragto_60
46,3,4,42.4264068712,0.0, ,9,fragto_60
47,3,13,39.9999999989,0.0, ,9,fragto_60
48,3,6,92.1954445725,0.0, ,9,fragto_60
49,3,1,70.7106781193,0.0, ,9,fragto_60
50,3,5,63.2455532036,0.0, ,9,fragto_60
51,3,2,22.3606797759,0.0, ,9,fragto_60
52,4,12,120.830459737,0.0, ,11,fragto_20
53,4,11,111.803398875,0.0, ,11,fragto_20
54,4,10,100.498756211,0.0, ,11,fragto_20
55,4,9,94.8683298058,0.0, ,11,fragto_20
56,4,8,70.0000000012,0.0, ,11,fragto_20
57,4,7,60.827625302,0.0, ,11,fragto_20
58,4,0,108.166538265,0.0, ,11,fragto_20
59,4,13,31.6227766024,0.0, ,11,fragto_20
60,4,6,78.1024967588,0.0, ,11,fragto_20
61,4,1,82.4621125129,0.0, ,11,fragto_20
62,4,5,58.3095189485,0.0, ,11,fragto_20
63,4,2,41.2310562565,0.0, ,11,fragto_20
64,4,3,42.4264068712,0.0, ,11,fragto_20
65,5,12,128.06248475,0.0, ,10,fragto_40
66,5,11,160.312195419,0.0, ,10,fragto_40
67,5,10,155.241746963,0.0, ,10,fragto_40
68,5,9,152.315462118,0.0, ,10,fragto_40
69,5,8,123.69316877,0.0, ,10,fragto_40
70,5,7,49.9999999994,0.0, ,10,fragto_40
71,5,0,162.788205962,0.0, ,10,fragto_40
72,5,4,58.3095189485,0.0, ,10,fragto_40
73,5,13,84.8528137425,0.0, ,10,fragto_40
74,5,6,29.9999999992,0.0, ,10,fragto_40
75,5,1,130.384048105,0.0, ,10,fragto_40
76,5,2,80.622577484,0.0, ,10,fragto_40
77,5,3,63.2455532036,0.0, ,10,fragto_40
78,6,12,111.803398877,0.0, ,13,fragto_40
