OID,INPUT_FID,NEAR_FID,DISTANCE,id,mapa,N_pto,tipo_polei
0,0,10,134.16407865,0.0, ,13,arv_isol
1,0,11,131.529464378,0.0, ,13,arv_isol
2,0,8,109.999999998,0.0, ,13,arv_isol
3,0,12,121.655250605,0.0, ,13,arv_isol
4,0,7,99.9999999973,0.0, ,13,arv_isol
5,0,4,86.0232526693,0.0, ,13,arv_isol
6,0,3,78.1024967593,0.0, ,13,arv_isol
7,0,5,80.6225774821,0.0, ,13,arv_isol
8,0,6,82.4621125125,0.0, ,13,arv_isol
9,0,2,72.1110255097,0.0, ,13,arv_isol
10,0,9,92.1954445719,0.0, ,13,arv_isol
11,0,1,44.7213595489,0.0, ,13,arv_isol
12,1,10,89.4427191015,0.0, ,8,arv_isol
13,1,11,98.488578017,0.0, ,8,arv_isol
14,1,8,72.8010988921,0.0, ,8,arv_isol
15,1,12,89.4427190994,0.0, ,8,arv_isol
16,1,7,63.2455532019,0.0, ,8,arv_isol
17,1,4,42.4264068712,0.0, ,8,arv_isol
18,1,3,36.055512756,0.0, ,8,arv_isol
19,1,5,36.0555127549,0.0, ,8,arv_isol
20,1,6,40.0000000011,0.0, ,8,arv_isol
21,1,2,28.284271249,0.0, ,8,arv_isol
22,1,9,64.0312423739,0.0, ,8,arv_isol
23,1,0,44.7213595489,0.0, ,8,arv_isol
24,2,10,63.2455532034,0.0, ,1,agrup_arb
25,2,11,92.195444572,0.0, ,1,agrup_arb
26,2,8,64.0312423733,0.0, ,1,agrup_arb
27,2,12,84.8528137416,0.0, ,1,agrup_arb
28,2,7,56.5685424939,0.0, ,1,agrup_arb
29,2,4,14.1421356222,0.0, ,1,agrup_arb
30,2,3,10.0000000002,0.0, ,1,agrup_arb
31,2,5,9.99999999859,0.0, ,1,agrup_arb
32,2,6,28.2842712476,0.0, ,1,agrup_arb
33,2,9,67.0820393248,0.0, ,1,agrup_arb
34,2,1,28.284271249,0.0, ,1,agrup_arb
35,2,0,72.1110255097,0.0, ,1,agrup_arb
36,3,10,60.8276253035,0.0, ,12,agrup_arb
37,3,11,98.9949493659,0.0, ,12,agrup_arb
38,3,8,70.7106781183,0.0, ,12,agrup_arb
39,3,12,92.1954445727,0.0, ,12,agrup_arb
40,3,7,64.0312423741,0.0, ,12,agrup_arb
41,3,4,9.99999999909,0.0, ,12,agrup_arb
42,3,5,14.1421356233,0.0, ,12,agrup_arb
43,3,6,36.0555127552,0.0, ,12,agrup_arb
44,3,2,10.0000000002,0.0, ,12,agrup_arb
45,3,9,76.1577310589,0.0, ,12,agrup_arb
46,3,1,36.055512756,0.0, ,12,agrup_arb
47,3,0,78.1024967593,0.0, ,12,agrup_arb
48,4,10,50.9901951375,0.0, ,6,agrup_arb
49,4,11,92.1954445727,0.0, ,6,agrup_arb
50,4,8,64.0312423738,0.0, ,6,agrup_arb
51,4,12,86.0232526701,0.0, ,6,agrup_arb
52,4,7,58.3095189482,0.0, ,6,agrup_arb
53,4,3,9.99999999909,0.0, ,6,agrup_arb
54,4,5,9.99999999939,0.0, ,6,agrup_arb
55,4,6,31.6227766016,0.0, ,6,agrup_arb
56,4,2,14.1421356222,0.0, ,6,agrup_arb
57,4,9,72.8010988925,0.0, ,6,agrup_arb
58,4,1,42.4264068712,0.0, ,6,agrup_arb
59,4,0,86.0232526693,0.0, ,6,agrup_arb
60,5,10,53.8516480728,0.0, ,7,agrup_arb
61,5,11,84.8528137426,0.0, ,7,agrup_arb
62,5,8,56.5685424949,0.0, ,7,agrup_arb
63,5,12,78.1024967592,0.0, ,7,agrup_arb
64,5,7,50.0000000001,0.0, ,7,agrup_arb
65,5,4,9.99999999939,0.0, ,7,agrup_arb
66,5,3,14.1421356233,0.0, ,7,agrup_arb
67,5,6,22.3606797756,0.0, ,7,agrup_arb
68,5,2,9.99999999859,0.0, ,7,agrup_arb
69,5,9,63.2455532037,0.0, ,7,agrup_arb
70,5,1,36.0555127549,0.0, ,7,agrup_arb
71,5,0,80.6225774821,0.0, ,7,agrup_arb
72,6,10,56.5685424951,0.0, ,9,arv_isol
73,6,11,64.0312423733,0.0, ,9,arv_isol
74,6,8,36.0555127534,0.0, ,9,arv_isol
75,6,12,56.568542494,0.0, ,9,arv_isol
76,6,7,28.2842712463,0.0, ,9,arv_isol
77,6,4,31.6227766016,0.0, ,9,arv_isol
78,6,3,36.0555127552,0.0, ,9,arv_isol
79,6,5,22.3606797756,0.0, ,9,arv_isol
80,6,2,28.2842712476,0.0, ,9,arv_isol
81,6,9,41.2310562561,0.0, ,9,arv_isol
82,6,1,40.0000000011,0.0, ,9,arv_isol
83,6,0,82.4621125125,0.0, ,9,arv_isol
84,7,10,63.2455532054,0.0, ,4,agrup_arb
85,7,11,36.055512755,0.0, ,4,agrup_arb
86,7,8,10.0000000011,0.0, ,4,agrup_arb
87,7,12,28.2842712477,0.0, ,4,agrup_arb
88,7,4,58.3095189482,0.0, ,4,agrup_arb
89,7,3,64.0312423741,0.0, ,4,agrup_arb
90,7,5,50.0000000001,0.0, ,4,agrup_arb
91,7,6,28.2842712463,0.0, ,4,agrup_arb
92,7,2,56.5685424939,0.0, ,4,agrup_arb
93,7,9,22.3606797734,0.0, ,4,agrup_arb
94,7,1,63.2455532019,0.0, ,4,agrup_arb
95,7,0,99.9999999973,0.0, ,4,agrup_arb
96,8,10,60.8276253035,0.0, ,5,agrup_arb
97,8,11,28.2842712477,0.0, ,5,agrup_arb
98,8,12,22.3606797751,0.0, ,5,agrup_arb
99,8,7,10.0000000011,0.0, ,5,agrup_arb
100,8,4,64.0312423738,0.0, ,5,agrup_arb
101,8,3,70.7106781183,0.0, ,5,agrup_arb
102,8,5,56.5685424949,0.0, ,5,agrup_arb
103,8,6,36.0555127534,0.0, ,5,agrup_arb
104,8,2,64.0312423733,0.0, ,5,agrup_arb
105,8,9,28.2842712472,0.0, ,5,agrup_arb
106,8,1,72.8010988921,0.0, ,5,agrup_arb
107,8,0,109.999999998,0.0, ,5,agrup_arb
108,9,10,85.4400374538,0.0, ,10,arv_isol
109,9,11,39.9999999989,0.0, ,10,arv_isol
110,9,8,28.2842712472,0.0, ,10,arv_isol
111,9,12,29.9999999998,0.0, ,10,arv_isol
112,9,7,22.3606797734,0.0, ,10,arv_isol
113,9,4,72.8010988925,0.0, ,10,arv_isol
114,9,3,76.1577310589,0.0, ,10,arv_isol
115,9,5,63.2455532037,0.0, ,10,arv_isol
116,9,6,41.2310562561,0.0, ,10,arv_isol
117,9,2,67.0820393248,0.0, ,10,arv_isol
118,9,1,64.0312423739,0.0, ,10,arv_isol
119,9,0,92.1954445719,0.0, ,10,arv_isol
120,10,11,80.6225774838,0.0, ,2,arv_isol
121,10,8,60.8276253035,0.0, ,2,arv_isol
122,10,12,80.0000000001,0.0, ,2,arv_isol
123,10,7,63.2455532054,0.0, ,2,arv_isol
124,10,4,50.9901951375,0.0, ,2,arv_isol
125,10,3,60.8276253035,0.0, ,2,arv_isol
126,10,5,53.8516480728,0.0, ,2,arv_isol
127,10,6,56.5685424951,0.0, ,2,arv_isol
128,10,2,63.2455532034,0.0, ,2,arv_isol
129,10,9,85.4400374538,0.0, ,2,arv_isol
130,10,1,89.4427191015,0.0, ,2,arv_isol
131,10,0,134.16407865,0.0, ,2,arv_isol
132,11,10,80.6225774838,0.0, ,11,agrup_arb
133,11,8,28.2842712477,0.0, ,11,agrup_arb
134,11,12,9.99999999909,0.0, ,11,agrup_arb
135,11,7,36.055512755,0.0, ,11,agrup_arb
136,11,4,92.1954445727,0.0, ,11,agrup_arb
137,11,3,98.9949493659,0.0, ,11,agrup_arb
138,11,5,84.8528137426,0.0, ,11,agrup_arb
139,11,6,64.0312423733,0.0, ,11,agrup_arb
140,11,2,92.195444572,0.0, ,11,agrup_arb
141,11,9,39.9999999989,0.0, ,11,agrup_arb
142,11,1,98.488578017,0.0, ,11,agrup_arb
143,11,0,131.529464378,0.0, ,11,agrup_arb
144,12,10,80.0000000001,0.0, ,3,agrup_arb
145,12,11,9.99999999909,0.0, ,3,agrup_arb
146,12,8,22.3606797751,0.0, ,3,agrup_arb
147,12,7,28.2842712477,0.0, ,3,agrup_arb
148,12,4,86.0232526701,0.0, ,3,agrup_arb
149,12,3,92.1954445727,0.0, ,3,agrup_arb
150,12,5,78.1024967592,0.0, ,3,agrup_arb
151,12,6,56.568542494,0.0, ,3,agrup_arb
152,12,2,84.8528137416,0.0, ,3,agrup_arb
153,12,9,29.9999999998,0.0, ,3,agrup_arb
154,12,1,89.4427190994,0.0, ,3,agrup_arb
155,12,0,121.655250605,0.0, ,3,agrup_arb
